Energy 	 Vol 	 L
-6.12301e-19	2.04747e-26	2.73572e-09
-6.27403e-19	2.03399e-26	2.72971e-09
-6.13e-19	2.09468e-26	2.75659e-09
-6.211e-19	2.00921e-26	2.71858e-09
-6.29982e-19	2.10626e-26	2.76166e-09
-6.07509e-19	2.08789e-26	2.75361e-09
-6.04719e-19	2.19214e-26	2.7987e-09
-5.79884e-19	2.25968e-26	2.82715e-09
-5.71332e-19	2.29009e-26	2.83978e-09
-5.81703e-19	2.29612e-26	2.84227e-09
-6.00445e-19	2.22101e-26	2.81093e-09
-5.94013e-19	2.29135e-26	2.8403e-09
-6.04559e-19	2.23982e-26	2.81884e-09
-5.97146e-19	2.30268e-26	2.84497e-09
-5.8523e-19	2.3794e-26	2.87622e-09
-5.73936e-19	2.48748e-26	2.91913e-09
-5.96184e-19	2.33786e-26	2.85938e-09
-5.92526e-19	2.37641e-26	2.87502e-09
-5.91096e-19	2.40254e-26	2.88552e-09
-5.66678e-19	2.49266e-26	2.92115e-09
-5.79926e-19	2.42288e-26	2.89364e-09
-5.63072e-19	2.4888e-26	2.91965e-09
-5.71947e-19	2.50614e-26	2.92641e-09
-5.85206e-19	2.49016e-26	2.92018e-09
-5.77402e-19	2.49861e-26	2.92348e-09
-5.93028e-19	2.50037e-26	2.92416e-09
